case_id,outcome,expected_intent,actual_intent,expected_tool,actual_tool
ec_023,failed,tool_execution,general_chat,,
gc_191,passed,,,,
gc_076,passed,,,,
ec_150,passed,,,,
gc_077,passed,,,,
gc_078,passed,,,,
gc_079,passed,,,,
gc_192,passed,,,,
ec_151,failed,,,query_timesheet,compute_statistics
ec_024,failed,,,query_timesheet,compute_statistics
gc_080,passed,,,,
gc_081,passed,,,,
gc_082,passed,,,,
ec_025,passed,,,,
ec_152,failed,,,query_timesheet,compute_statistics
gc_083,passed,,,,
ec_026,passed,,,,
gc_084,passed,,,,
gc_193,failed,general_chat,knowledge_qa,,
ec_153,failed,,,query_timesheet,compute_statistics
gc_085,passed,,,,
ec_027,failed,,,query_timesheet,compute_statistics
ec_154,passed,,,,
gc_086,passed,,,,
gc_194,passed,,,,
ec_028,passed,,,,
ec_155,passed,,,,
gc_087,passed,,,,
ec_156,passed,,,,
ec_029,passed,,,,
gc_195,failed,general_chat,knowledge_qa,,
gc_088,passed,,,,
ec_157,passed,,,,
gc_196,passed,,,,
ec_030,passed,,,,
ec_158,passed,,,,
gc_197,passed,,,,
ec_031,passed,,,,
gc_089,passed,,,,
gc_090,passed,,,,
ec_159,passed,,,,
ec_032,failed,tool_execution,general_chat,,
gc_091,passed,,,,
gc_092,passed,,,,
gc_093,passed,,,,
ec_160,passed,,,,
gc_094,passed,,,,
gc_198,passed,,,,
gc_095,passed,,,,
ec_161,passed,,,,
ec_033,passed,,,,
gc_199,passed,,,,
ec_162,failed,,,query_timesheet,compute_statistics
gc_096,passed,,,,
ec_034,failed,tool_execution,knowledge_qa,,
gc_097,passed,,,,
gc_200,passed,,,,
gc_098,passed,,,,
gc_099,passed,,,,
ec_163,failed,tool_execution,general_chat,,
gc_100,passed,,,,
ec_035,passed,,,,
ec_036,passed,,,,
kq_001,passed,,,,
ec_164,passed,,,,
gc_101,passed,,,,
ec_165,passed,,,,
ec_037,failed,tool_execution,general_chat,,
kq_002,passed,,,,
ec_166,failed,tool_execution,general_chat,,
ec_038,passed,,,,
gc_102,passed,,,,
gc_103,passed,,,,
kq_003,passed,,,,
gc_104,passed,,,,
ec_039,passed,,,,
gc_105,passed,,,,
ec_040,passed,,,,
gc_106,passed,,,,
kq_004,failed,knowledge_qa,general_chat,,
ec_041,passed,,,,
gc_107,passed,,,,
ec_167,failed,tool_execution,general_chat,,
gc_108,passed,,,,
ec_042,passed,,,,
gc_109,passed,,,,
ec_168,passed,,,,
kq_005,passed,,,,
ec_043,passed,,,,
gc_110,passed,,,,
gc_111,passed,,,,
ec_044,passed,,,,
ec_169,passed,,,,
gc_112,passed,,,,
gc_113,passed,,,,
ec_045,passed,,,,
ec_170,passed,,,,
kq_006,passed,,,,
gc_114,passed,,,,
gc_115,passed,,,,
ec_171,passed,,,,
ec_046,passed,,,,
gc_116,passed,,,,
gc_117,passed,,,,
ec_047,passed,,,,
gc_118,passed,,,,
gc_119,passed,,,,
kq_007,passed,,,,
ec_048,failed,tool_execution,general_chat,,
gc_120,passed,,,,
gc_121,failed,general_chat,knowledge_qa,,
ec_049,passed,,,,
gc_122,passed,,,,
ec_172,passed,,,,
kq_008,passed,,,,
ec_050,passed,,,,
ec_173,failed,,,query_timesheet,compute_statistics
gc_123,passed,,,,
ec_051,failed,tool_execution,general_chat,,
gc_124,passed,,,,
ec_174,passed,,,,
gc_125,passed,,,,
ec_052,failed,tool_execution,general_chat,,
kq_009,failed,knowledge_qa,general_chat,,
gc_126,passed,,,,
ec_175,failed,,,query_timesheet,compute_statistics
gc_127,passed,,,,
ec_053,failed,tool_execution,general_chat,,
gc_128,passed,,,,
kq_010,passed,,,,
gc_129,failed,general_chat,knowledge_qa,,
ec_054,failed,tool_execution,general_chat,,
ec_176,passed,,,,
gc_130,failed,general_chat,knowledge_qa,,
gc_131,passed,,,,
ec_177,passed,,,,
ec_055,failed,tool_execution,general_chat,,
kq_011,passed,,,,
kq_012,passed,,,,
ec_178,failed,,,query_timesheet,compute_statistics
gc_132,failed,general_chat,knowledge_qa,,
ec_056,failed,tool_execution,general_chat,,
ec_057,failed,tool_execution,general_chat,,
ec_179,failed,tool_execution,general_chat,,
kq_013,passed,,,,
gc_133,failed,general_chat,knowledge_qa,,
ec_058,failed,tool_execution,general_chat,,
gc_134,passed,,,,
ec_059,failed,tool_execution,general_chat,,
ec_180,failed,,,query_timesheet,compute_statistics
kq_014,failed,knowledge_qa,general_chat,,
ec_181,failed,clarify,general_chat,,
kq_015,passed,,,,
ec_060,failed,tool_execution,general_chat,,
gc_135,passed,,,,
ec_182,failed,clarify,general_chat,,
gc_136,passed,,,,
kq_016,passed,,,,
ec_061,passed,,,,
ec_183,failed,clarify,tool_execution,,
ec_062,failed,tool_execution,general_chat,,
ec_184,failed,clarify,general_chat,,
gc_137,failed,general_chat,knowledge_qa,,
ec_185,failed,clarify,tool_execution,,
kq_017,passed,,,,
ec_063,passed,,,,
ec_186,failed,clarify,general_chat,,
gc_138,failed,general_chat,knowledge_qa,,
ec_064,failed,tool_execution,general_chat,,
kq_018,passed,,,,
ec_187,failed,clarify,general_chat,,
kq_019,passed,,,,
ec_188,failed,clarify,general_chat,,
ec_065,passed,,,,
gc_139,failed,general_chat,knowledge_qa,,
ec_189,failed,clarify,general_chat,,
ec_066,passed,,,,
kq_020,failed,knowledge_qa,tool_execution,,
ec_067,passed,,,,
gc_140,failed,general_chat,knowledge_qa,,
ec_190,failed,clarify,general_chat,,
ec_068,passed,,,,
kq_021,passed,,,,
ec_191,failed,tool_execution,general_chat,,
ec_069,passed,,,,
ec_070,passed,,,,
ec_192,failed,tool_execution,general_chat,,
gc_141,passed,,,,
ec_071,passed,,,,
ec_193,failed,tool_execution,general_chat,,
kq_022,passed,,,,
ec_072,failed,,,query_timesheet,compute_statistics
gc_142,passed,,,,
kq_023,passed,,,,
ec_073,passed,,,,
ec_194,failed,tool_execution,general_chat,,
gc_143,passed,,,,
ec_074,failed,tool_execution,general_chat,,
ec_195,failed,tool_execution,general_chat,,
gc_144,passed,,,,
kq_024,passed,,,,
ec_196,failed,tool_execution,general_chat,,
gc_145,passed,,,,
ec_075,passed,,,,
ec_197,failed,tool_execution,general_chat,,
ec_076,passed,,,,
kq_025,failed,knowledge_qa,general_chat,,
gc_146,failed,general_chat,tool_execution,,
ec_077,passed,,,,
ec_198,failed,tool_execution,general_chat,,
ec_078,passed,,,,
gc_147,passed,,,,
kq_026,passed,,,,
ec_079,passed,,,,
gc_148,passed,,,,
ec_199,failed,tool_execution,general_chat,,
ec_080,failed,tool_execution,general_chat,,
gc_149,passed,,,,
kq_027,passed,,,,
gc_150,passed,,,,
ec_200,failed,tool_execution,general_chat,,
gc_151,passed,,,,
ec_081,failed,tool_execution,general_chat,,
gc_001,passed,,,,
kq_028,passed,,,,
gc_152,passed,,,,
gc_002,passed,,,,
gc_153,passed,,,,
ec_082,passed,,,,
gc_003,passed,,,,
gc_154,passed,,,,
kq_029,passed,,,,
ec_083,passed,,,,
gc_004,passed,,,,
gc_155,passed,,,,
ec_084,passed,,,,
gc_005,passed,,,,
kq_030,passed,,,,
gc_156,passed,,,,
gc_006,passed,,,,
ec_085,passed,,,,
gc_157,passed,,,,
gc_007,passed,,,,
ec_086,failed,,,query_timesheet,compute_statistics
kq_031,passed,,,,
kq_032,passed,,,,
ec_087,passed,,,,
gc_158,passed,,,,
gc_008,passed,,,,
ec_088,passed,,,,
gc_009,passed,,,,
kq_033,passed,,,,
gc_159,passed,,,,
gc_010,passed,,,,
ec_089,passed,,,,
ec_090,passed,,,,
gc_160,passed,,,,
gc_011,passed,,,,
kq_034,passed,,,,
ec_091,failed,tool_execution,general_chat,,
kq_035,passed,,,,
gc_012,passed,,,,
gc_161,passed,,,,
gc_013,passed,,,,
gc_162,passed,,,,
ec_092,failed,tool_execution,general_chat,,
kq_036,passed,,,,
gc_014,passed,,,,
gc_163,passed,,,,
ec_093,failed,tool_execution,general_chat,,
gc_015,passed,,,,
kq_037,passed,,,,
gc_164,passed,,,,
ec_094,failed,,,query_timesheet,generate_weekly_report
gc_016,passed,,,,
ec_095,failed,,,query_timesheet,generate_weekly_report
gc_165,passed,,,,
ec_096,failed,tool_execution,general_chat,,
gc_017,passed,,,,
kq_038,passed,,,,
gc_166,passed,,,,
ec_097,passed,,,,
gc_018,passed,,,,
ec_098,passed,,,,
kq_039,passed,,,,
gc_167,passed,,,,
ec_099,passed,,,,
gc_019,passed,,,,
gc_168,passed,,,,
kq_040,passed,,,,
ec_100,passed,,,,
gc_020,passed,,,,
gc_169,passed,,,,
ec_101,passed,,,,
gc_021,passed,,,,
kq_041,passed,,,,
ec_102,passed,,,,
gc_170,passed,,,,
gc_022,passed,,,,
kq_042,passed,,,,
ec_103,failed,,,query_timesheet,compute_statistics
gc_171,passed,,,,
gc_023,passed,,,,
gc_172,passed,,,,
kq_043,passed,,,,
gc_024,passed,,,,
gc_173,passed,,,,
ec_104,passed,,,,
gc_174,passed,,,,
gc_025,passed,,,,
ec_105,passed,,,,
kq_044,passed,,,,
gc_175,passed,,,,
ec_106,passed,,,,
gc_026,passed,,,,
gc_027,passed,,,,
ec_107,passed,,,,
kq_045,passed,,,,
kq_101,failed,knowledge_qa,general_chat,,
ec_108,passed,,,,
gc_028,passed,,,,
ec_109,passed,,,,
gc_029,passed,,,,
ec_110,failed,tool_execution,general_chat,,
kq_046,passed,,,,
gc_030,passed,,,,
kq_102,failed,knowledge_qa,general_chat,,
gc_031,passed,,,,
kq_103,failed,knowledge_qa,general_chat,,
ec_111,passed,,,,
kq_047,passed,,,,
ec_112,passed,,,,
kq_104,failed,knowledge_qa,general_chat,,
gc_032,passed,,,,
kq_048,passed,,,,
ec_113,passed,,,,
gc_033,passed,,,,
kq_105,failed,knowledge_qa,general_chat,,
ec_114,passed,,,,
kq_049,passed,,,,
gc_034,passed,,,,
ec_115,passed,,,,
gc_035,passed,,,,
kq_050,passed,,,,
kq_106,failed,knowledge_qa,general_chat,,
ec_116,passed,,,,
gc_036,passed,,,,
ec_117,failed,tool_execution,general_chat,,
gc_037,passed,,,,
kq_107,failed,knowledge_qa,general_chat,,
kq_051,passed,,,,
gc_038,passed,,,,
ec_118,failed,,,query_timesheet,generate_weekly_report
kq_052,failed,knowledge_qa,general_chat,,
gc_039,passed,,,,
kq_108,passed,,,,
ec_119,passed,,,,
gc_040,passed,,,,
kq_053,passed,,,,
ec_120,passed,,,,
gc_041,passed,,,,
ec_121,passed,,,,
kq_109,passed,,,,
gc_042,passed,,,,
ec_122,passed,,,,
kq_054,passed,,,,
ec_123,passed,,,,
gc_043,passed,,,,
ec_124,passed,,,,
kq_110,failed,knowledge_qa,general_chat,,
kq_055,failed,knowledge_qa,general_chat,,
ec_125,passed,,,,
gc_044,passed,,,,
qp_087,passed,,,,
qp_088,failed,tool_execution,general_chat,,
kq_056,passed,,,,
gc_045,failed,general_chat,tool_execution,,
kq_111,failed,knowledge_qa,general_chat,,
kq_057,failed,knowledge_qa,general_chat,,
gc_046,passed,,,,
gc_047,passed,,,,
kq_058,passed,,,,
gc_048,passed,,,,
qp_089,passed,,,,
kq_112,failed,knowledge_qa,general_chat,,
kq_059,failed,knowledge_qa,general_chat,,
qp_090,passed,,,,
gc_049,passed,,,,
qp_091,passed,,,,
qp_092,passed,,,,
gc_050,passed,,,,
kq_060,passed,,,,
kq_113,passed,,,,
qp_093,passed,,,,
qobm_050,passed,,,,
qp_094,passed,,,,
qobm_051,passed,,,,
kq_114,passed,,,,
kq_061,passed,,,,
qp_095,failed,tool_execution,general_chat,,
qobm_052,passed,,,,
qp_096,passed,,,,
kq_115,failed,knowledge_qa,general_chat,,
qp_097,passed,,,,
qobm_053,failed,tool_execution,general_chat,,
qp_098,passed,,,,
kq_062,failed,knowledge_qa,general_chat,,
qp_099,failed,,,query_project,query_timesheet
kq_116,failed,knowledge_qa,general_chat,,
qp_100,failed,,,query_project,query_timesheet
qobm_054,failed,tool_execution,general_chat,,
kq_063,failed,knowledge_qa,general_chat,,
kq_117,failed,knowledge_qa,general_chat,,
qobm_055,passed,,,,
kq_118,failed,knowledge_qa,general_chat,,
kq_064,passed,,,,
qp_101,passed,,,,
qobm_056,failed,tool_execution,general_chat,,
kq_119,passed,,,,
qp_102,passed,,,,
kq_065,failed,knowledge_qa,general_chat,,
qp_103,passed,,,,
qobm_057,passed,,,,
kq_120,passed,,,,
qp_104,passed,,,,
qobm_058,passed,,,,
qp_105,passed,,,,
kq_066,passed,,,,
qobm_059,passed,,,,
qp_106,passed,,,,
qp_107,passed,,,,
kq_121,failed,knowledge_qa,general_chat,,
qp_108,passed,,,,
kq_122,failed,knowledge_qa,general_chat,,
kq_067,failed,knowledge_qa,general_chat,,
qp_109,failed,tool_execution,general_chat,,
qp_110,passed,,,,
qobm_060,passed,,,,
kq_123,failed,knowledge_qa,general_chat,,
qp_111,passed,,,,
qobp_001,failed,,,query_timesheet,query_project
kq_068,failed,knowledge_qa,general_chat,,
qp_112,passed,,,,
qobp_002,failed,,,query_timesheet,query_project
qp_113,passed,,,,
kq_124,failed,knowledge_qa,general_chat,,
qp_114,failed,tool_execution,general_chat,,
kq_069,passed,,,,
qobp_003,passed,,,,
qp_115,passed,,,,
kq_125,failed,knowledge_qa,general_chat,,
qp_116,passed,,,,
qobp_004,passed,,,,
qp_117,passed,,,,
qp_118,passed,,,,
kq_070,failed,knowledge_qa,general_chat,,
qobp_005,failed,,,query_timesheet,query_project
qp_119,passed,,,,
kq_126,failed,knowledge_qa,general_chat,,
qp_120,passed,,,,
qobp_006,failed,,,query_timesheet,query_project
qp_121,passed,,,,
qobp_007,failed,,,query_timesheet,query_project
qp_122,passed,,,,
qobp_008,passed,,,,
qp_123,passed,,,,
qp_124,passed,,,,
kq_071,failed,knowledge_qa,general_chat,,
kq_127,failed,knowledge_qa,tool_execution,,
qp_125,passed,,,,
qobp_009,passed,,,,
qp_126,passed,,,,
qp_127,passed,,,,
kq_128,failed,knowledge_qa,general_chat,,
qobp_010,passed,,,,
kq_072,failed,knowledge_qa,general_chat,,
qp_128,failed,tool_execution,general_chat,,
qobp_011,passed,,,,
qobp_012,failed,,,query_timesheet,query_project
kq_073,failed,knowledge_qa,general_chat,,
kq_129,passed,,,,
qobp_013,passed,,,,
qp_129,passed,,,,
kq_074,passed,,,,
qp_130,failed,tool_execution,general_chat,,
qobp_014,failed,,,query_timesheet,query_project
qp_131,passed,,,,
qobp_015,failed,,,query_timesheet,query_project
qp_132,passed,,,,
qobp_016,passed,,,,
kq_075,passed,,,,
qp_133,passed,,,,
kq_130,failed,knowledge_qa,general_chat,,
qp_134,passed,,,,
qobp_017,failed,,,query_timesheet,query_project
qp_135,failed,tool_execution,general_chat,,
qobp_018,passed,,,,
kq_076,failed,knowledge_qa,general_chat,,
qp_136,passed,,,,
qobp_019,failed,,,query_timesheet,query_project
kq_131,passed,,,,
qp_137,passed,,,,
qobp_020,passed,,,,
kq_077,passed,,,,
qp_138,passed,,,,
qp_139,passed,,,,
qp_140,passed,,,,
qobp_021,passed,,,,
qp_141,passed,,,,
qp_142,passed,,,,
kq_132,passed,,,,
qp_143,passed,,,,
qobp_022,failed,,,query_timesheet,query_project
kq_078,failed,knowledge_qa,general_chat,,
qp_144,passed,,,,
qp_145,passed,,,,
qp_146,passed,,,,
kq_079,failed,knowledge_qa,general_chat,,
qobp_023,passed,,,,
qp_147,passed,,,,
kq_133,failed,knowledge_qa,general_chat,,
qp_148,passed,,,,
qp_149,passed,,,,
qobp_024,failed,,,query_timesheet,query_project
qp_150,passed,,,,
qobp_025,passed,,,,
kq_080,failed,knowledge_qa,general_chat,,
qp_151,passed,,,,
qp_152,passed,,,,
qp_153,passed,,,,
qobp_026,failed,,,query_timesheet,query_project
kq_134,failed,knowledge_qa,general_chat,,
qp_154,passed,,,,
qobp_027,passed,,,,
qp_155,passed,,,,
qp_156,passed,,,,
kq_081,failed,knowledge_qa,general_chat,,
qobp_028,passed,,,,
qp_157,passed,,,,
qp_158,passed,,,,
qobp_029,failed,,,query_timesheet,query_project
qp_159,passed,,,,
qp_160,passed,,,,
kq_135,failed,knowledge_qa,tool_execution,,
qp_161,passed,,,,
qobp_030,failed,,,query_timesheet,query_project
qp_162,passed,,,,
kq_136,failed,knowledge_qa,general_chat,,
kq_082,failed,knowledge_qa,general_chat,,
qp_163,passed,,,,
qolm_001,passed,,,,
qp_164,passed,,,,
qp_165,passed,,,,
qp_166,passed,,,,
kq_137,failed,knowledge_qa,general_chat,,
qolm_002,passed,,,,
qp_167,passed,,,,
qp_168,passed,,,,
qp_169,passed,,,,
kq_083,passed,,,,
qolm_003,passed,,,,
qp_170,passed,,,,
kq_138,failed,knowledge_qa,general_chat,,
qp_171,passed,,,,
qp_172,passed,,,,
qolm_004,passed,,,,
qp_173,passed,,,,
qp_174,passed,,,,
kq_084,failed,knowledge_qa,general_chat,,
qp_175,passed,,,,
kq_139,failed,knowledge_qa,general_chat,,
qolm_005,passed,,,,
qp_176,passed,,,,
qp_177,passed,,,,
qp_178,passed,,,,
qp_179,failed,tool_execution,knowledge_qa,,
kq_085,failed,knowledge_qa,general_chat,,
kq_140,failed,knowledge_qa,general_chat,,
qp_180,passed,,,,
qp_181,passed,,,,
kq_141,passed,,,,
qp_182,passed,,,,
qp_183,passed,,,,
kq_142,passed,,,,
qolm_006,failed,tool_execution,general_chat,,
qp_184,passed,,,,
qp_185,passed,,,,
kq_086,failed,knowledge_qa,general_chat,,
kq_143,passed,,,,
qp_186,passed,,,,
qp_187,passed,,,,
qp_188,passed,,,,
kq_087,failed,knowledge_qa,general_chat,,
qp_189,passed,,,,
qp_190,passed,,,,
qolm_007,passed,,,,
kq_144,failed,knowledge_qa,tool_execution,,
qp_191,passed,,,,
kq_088,failed,knowledge_qa,general_chat,,
qp_192,passed,,,,
qp_193,passed,,,,
kq_089,passed,,,,
qp_194,passed,,,,
qp_195,passed,,,,
qp_196,passed,,,,
qp_197,passed,,,,
qolm_008,passed,,,,
qp_198,passed,,,,
kq_145,passed,,,,
qp_199,passed,,,,
kq_090,failed,knowledge_qa,general_chat,,
qolm_009,passed,,,,
qp_200,passed,,,,
qobm_001,passed,,,,
kq_146,passed,,,,
kq_091,failed,knowledge_qa,general_chat,,
qolm_010,passed,,,,
qobm_002,passed,,,,
qobm_003,passed,,,,
qolm_011,failed,tool_execution,general_chat,,
kq_147,passed,,,,
qobm_004,passed,,,,
kq_092,failed,knowledge_qa,general_chat,,
kq_148,passed,,,,
qobm_005,failed,tool_execution,general_chat,,
qolm_012,passed,,,,
kq_149,passed,,,,
qobm_006,failed,,,query_timesheet,compute_statistics
kq_093,failed,knowledge_qa,general_chat,,
kq_094,failed,knowledge_qa,general_chat,,
qolm_013,passed,,,,
qobm_007,passed,,,,
qolm_014,passed,,,,
kq_150,passed,,,,
qolm_015,passed,,,,
kq_095,passed,,,,
qobm_008,passed,,,,
kq_151,passed,,,,
qobm_009,passed,,,,
qolm_016,failed,,,query_timesheet,compute_statistics
kq_152,passed,,,,
kq_096,failed,knowledge_qa,general_chat,,
qobm_010,failed,tool_execution,general_chat,,
kq_153,passed,,,,
kq_097,failed,knowledge_qa,general_chat,,
qolm_017,passed,,,,
kq_154,passed,,,,
kq_098,failed,knowledge_qa,general_chat,,
qolm_018,passed,,,,
qolm_019,passed,,,,
qobm_011,passed,,,,
kq_155,passed,,,,
kq_099,failed,knowledge_qa,general_chat,,
qobm_012,failed,tool_execution,general_chat,,
qolm_020,passed,,,,
kq_156,passed,,,,
qobm_013,passed,,,,
qolm_021,passed,,,,
kq_100,failed,knowledge_qa,general_chat,,
qobm_014,passed,,,,
qolm_022,passed,,,,
kq_157,passed,,,,
qolm_023,passed,,,,
qotw_042,passed,,,,
qobm_015,passed,,,,
qobm_016,passed,,,,
qotw_043,passed,,,,
qolm_024,passed,,,,
qotw_044,passed,,,,
qobm_017,passed,,,,
qotw_045,passed,,,,
qolm_025,failed,,,query_timesheet,compute_statistics
kq_158,passed,,,,
qotw_046,passed,,,,
qotw_047,failed,tool_execution,general_chat,,
qobm_018,passed,,,,
kq_159,passed,,,,
qobm_019,failed,tool_execution,general_chat,,
qolm_026,passed,,,,
qotw_048,passed,,,,
qotw_049,failed,,,query_timesheet,compute_statistics
kq_160,passed,,,,
qotw_050,passed,,,,
qobm_020,passed,,,,
qot_001,passed,,,,
qot_002,passed,,,,
kq_161,passed,,,,
qobm_021,passed,,,,
qot_003,passed,,,,
qolm_027,passed,,,,
kq_162,passed,,,,
qot_004,passed,,,,
qobm_022,passed,,,,
qot_005,failed,tool_execution,general_chat,,
qobm_023,passed,,,,
kq_163,passed,,,,
qot_006,passed,,,,
qolm_028,failed,tool_execution,general_chat,,
qot_007,passed,,,,
qobm_024,failed,tool_execution,general_chat,,
kq_164,passed,,,,
qot_008,passed,,,,
qobm_025,failed,tool_execution,general_chat,,
qot_009,passed,,,,
qot_010,passed,,,,
kq_165,passed,,,,
qot_011,passed,,,,
qolm_029,failed,tool_execution,general_chat,,
qot_012,passed,,,,
qobm_026,failed,tool_execution,general_chat,,
qot_013,passed,,,,
kq_166,passed,,,,
qobm_027,passed,,,,
qot_014,passed,,,,
qobm_028,passed,,,,
qolm_030,passed,,,,
qot_015,passed,,,,
kq_167,passed,,,,
qolm_031,passed,,,,
qobm_029,passed,,,,
qot_016,passed,,,,
qot_017,passed,,,,
qobm_030,passed,,,,
qot_018,passed,,,,
qobm_031,failed,,,query_timesheet,compute_statistics
qolm_032,passed,,,,
qot_019,failed,tool_execution,general_chat,,
kq_168,passed,,,,
qobm_032,passed,,,,
qolm_033,passed,,,,
kq_169,passed,,,,
qobm_033,failed,tool_execution,general_chat,,
qolm_034,passed,,,,
qot_020,passed,,,,
kq_170,passed,,,,
qot_021,passed,,,,
qobm_034,passed,,,,
qolm_035,passed,,,,
qot_022,passed,,,,
kq_171,passed,,,,
qot_023,passed,,,,
qobm_035,passed,,,,
kq_172,passed,,,,
qolm_036,passed,,,,
qobm_036,passed,,,,
qolm_037,passed,,,,
qot_024,passed,,,,
qobm_037,passed,,,,
kq_173,passed,,,,
qot_025,passed,,,,
qolm_038,passed,,,,
qot_026,failed,tool_execution,general_chat,,
qobm_038,passed,,,,
qobm_039,passed,,,,
qot_027,passed,,,,
kq_174,passed,,,,
qolm_039,passed,,,,
qot_028,passed,,,,
qobm_040,failed,tool_execution,general_chat,,
qot_029,passed,,,,
qolm_040,failed,tool_execution,general_chat,,
qot_030,passed,,,,
qot_031,failed,,,query_timesheet,compute_statistics
qobm_041,passed,,,,
qot_032,passed,,,,
kq_175,passed,,,,
qot_033,failed,tool_execution,general_chat,,
qobm_042,failed,tool_execution,general_chat,,
qot_034,passed,,,,
qolm_041,passed,,,,
kq_176,passed,,,,
qobm_043,passed,,,,
qot_035,passed,,,,
qot_036,passed,,,,
qolm_042,passed,,,,
qot_037,passed,,,,
qobm_044,passed,,,,
qot_038,passed,,,,
qobm_045,failed,,,query_timesheet,compute_statistics
kq_177,passed,,,,
qot_039,passed,,,,
qobm_046,failed,tool_execution,general_chat,,
qot_040,failed,tool_execution,general_chat,,
qolm_043,passed,,,,
kq_178,passed,,,,
qolm_044,passed,,,,
qsbp_001,failed,,,query_timesheet,query_project
qsbp_002,failed,,,query_timesheet,query_project
kq_179,passed,,,,
qsbp_003,failed,,,query_timesheet,query_project
qolm_045,passed,,,,
qobm_047,failed,tool_execution,general_chat,,
qsbp_004,failed,,,query_timesheet,query_project
qsbp_005,failed,,,query_timesheet,query_project
qsbp_006,failed,,,query_timesheet,query_project
kq_180,passed,,,,
qsbp_007,passed,,,,
qobm_048,failed,tool_execution,general_chat,,
qolm_046,passed,,,,
kq_181,passed,,,,
qsbp_008,failed,,,query_timesheet,query_project
qolm_047,failed,tool_execution,general_chat,,
qsbp_009,failed,,,query_timesheet,query_project
qobm_049,passed,,,,
qsbp_010,failed,,,query_timesheet,query_project
qsdr_027,passed,,,,
qsbp_011,failed,,,query_timesheet,query_project
qsdr_028,passed,,,,
kq_182,passed,,,,
qsbp_012,failed,,,query_timesheet,query_project
qsdr_029,passed,,,,
qsbp_013,failed,,,query_timesheet,query_project
kq_183,passed,,,,
qsdr_030,passed,,,,
qsbp_014,failed,,,query_timesheet,query_project
qsdr_031,passed,,,,
qsbp_015,failed,,,query_timesheet,query_project
qolm_048,passed,,,,
qsdr_032,passed,,,,
qsbp_016,failed,,,query_timesheet,query_project
qsbp_017,failed,,,query_timesheet,query_project
qsdr_033,passed,,,,
kq_184,passed,,,,
qsbp_018,failed,,,query_timesheet,query_project
qsdr_034,passed,,,,
qolm_049,failed,tool_execution,general_chat,,
qsbp_019,failed,,,query_timesheet,query_project
qsdr_035,passed,,,,
qsbp_020,failed,,,query_timesheet,query_project
qsdr_036,passed,,,,
qsbp_021,failed,,,query_timesheet,query_project
qsdr_037,passed,,,,
kq_185,passed,,,,
qolm_050,passed,,,,
qsbp_022,failed,,,query_timesheet,query_project
qsdr_038,passed,,,,
qolm_051,passed,,,,
qsbp_023,passed,,,,
qsdr_039,passed,,,,
qolm_052,passed,,,,
qsdr_040,passed,,,,
qsbp_024,failed,,,query_timesheet,query_project
qsbp_025,failed,,,query_timesheet,query_project
qsdr_041,passed,,,,
kq_186,passed,,,,
qolm_053,passed,,,,
qsdr_042,passed,,,,
